,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,-0.5324882,-0.8258364,-1.035281,-1.2422211,-1.3976324,-1.5347269,-1.57725,-1.7103164,-1.779263,-1.8469074,-1.9249942,-1.966389,-2.0639887,-2.1347737,-2.142969,-2.2084444,-2.266544,-2.2156332,-2.3305619,-2.2734342,-2.304431,-2.3820455,-2.4074125,-2.3688138,-2.4058483,-2.4681044,-2.4851289,-2.5493095,-2.5721788,-2.6173685,-2.5866365,-2.5840712,-2.5792544,-2.7067246,-2.6250257,-2.6897223,-2.651267,-2.7266932,-2.7455595,-2.6791584,-2.7775095,-2.7511368,-2.7739985,-2.7572098,-2.8139594,-2.8135736,-2.8486593,-2.7399273,-2.8337529,-2.9048216,-2.862636,-2.8930466,-2.8729165,-2.8698444,-2.832232,-2.8669348,-2.9018106,-2.934993,-2.8769727,-2.860657,-2.8688369,-2.9243784,-2.8381498
1,-0.5604358,-0.73633873,-1.000704,-1.1179852,-1.3263798,-1.4080062,-1.5188236,-1.6669216,-1.7012055,-1.8169785,-1.8872576,-1.8944004,-1.9823472,-2.0105758,-2.1563437,-2.1171,-2.1984572,-2.2320209,-2.2170374,-2.2959554,-2.2912133,-2.4007623,-2.3326101,-2.394033,-2.4127436,-2.4880478,-2.5158255,-2.5107572,-2.533085,-2.5600853,-2.5514355,-2.5552664,-2.6125844,-2.6982331,-2.633084,-2.7315333,-2.7040493,-2.6840532,-2.756595,-2.7348764,-2.6701033,-2.7363727,-2.7816083,-2.7373307,-2.72816,-2.7670736,-2.8154826,-2.8667362,-2.8327394,-2.8407457,-2.793632,-2.92065,-2.820568,-2.9191673,-2.8604522,-2.8323932,-2.9167352,-2.8994033,-2.8512735,-2.866565,-2.868427,-2.8688488,-2.9481764,-2.8696167
2,-0.82335794,-0.9084209,-1.0343375,-1.2089775,-1.2956302,-1.4369197,-1.5693855,-1.6773221,-1.7175629,-1.781611,-1.9006584,-1.972935,-1.9897528,-2.1121018,-2.106577,-2.199369,-2.2318106,-2.2686925,-2.2449522,-2.291534,-2.325293,-2.2957885,-2.3911567,-2.3927548,-2.3984559,-2.4293416,-2.4914765,-2.4568532,-2.5104604,-2.5568745,-2.6063502,-2.5552173,-2.561405,-2.6923761,-2.6881473,-2.6149678,-2.70528,-2.6981013,-2.7000256,-2.7437966,-2.7419262,-2.7376513,-2.7812543,-2.746839,-2.7643244,-2.7994401,-2.8435576,-2.8222141,-2.876274,-2.9118092,-2.85067,-2.816586,-2.9005303,-2.791283,-2.8357604,-2.825234,-2.8544753,-2.894868,-2.8857992,-2.8728554,-2.8946311,-2.8575373,-2.9190857,-2.8695638
3,-1.0958915,-1.1635513,-1.2085974,-1.3169105,-1.4666364,-1.4711902,-1.635998,-1.7240479,-1.8059595,-1.8925662,-1.8581572,-1.945452,-2.0150838,-2.027123,-2.083138,-2.1625268,-2.2160387,-2.2381608,-2.2716897,-2.2649767,-2.3077407,-2.3879437,-2.3855984,-2.4059982,-2.464614,-2.4319417,-2.556027,-2.530855,-2.5463507,-2.587073,-2.4924762,-2.6408641,-2.6412222,-2.6673512,-2.629624,-2.6852949,-2.6602125,-2.7055404,-2.7354712,-2.7284634,-2.730935,-2.7086768,-2.7509556,-2.7721522,-2.7308028,-2.7672164,-2.828571,-2.77626,-2.7604094,-2.866901,-2.8305795,-2.901793,-2.8791378,-2.8577936,-2.8371289,-2.8512924,-2.835995,-2.8857367,-2.8412359,-2.8821766,-2.8524961,-2.9301805,-2.900614,-2.9559023
4,-1.2889209,-1.2878246,-1.3695824,-1.4412272,-1.4701817,-1.5860951,-1.6757121,-1.7457047,-1.8182328,-1.8321731,-1.9168589,-2.0158904,-1.957624,-2.016205,-2.21898,-2.1516252,-2.2424464,-2.2554517,-2.2887704,-2.2458727,-2.28847,-2.3084514,-2.3682866,-2.4296982,-2.5387394,-2.4573817,-2.4391618,-2.4731364,-2.5321429,-2.6166806,-2.605987,-2.6208951,-2.6422186,-2.7102354,-2.6433313,-2.7033854,-2.6839235,-2.730662,-2.7030609,-2.7192376,-2.7536972,-2.746253,-2.7224798,-2.8174257,-2.8234856,-2.8465447,-2.8158774,-2.8503282,-2.822926,-2.7720883,-2.9092188,-2.8349442,-2.8454032,-2.8721652,-2.8811357,-2.8721569,-2.9228127,-2.9010038,-2.889207,-2.9084706,-2.845397,-2.8894875,-2.8258855,-2.8969026
5,-1.4972367,-1.4922063,-1.4944015,-1.5114708,-1.6088166,-1.5935757,-1.7530384,-1.7452455,-1.8449779,-1.9005129,-1.9808173,-1.9938185,-2.1119304,-2.1166015,-2.097921,-2.215523,-2.2231472,-2.2505677,-2.3227286,-2.3681943,-2.3317554,-2.3234851,-2.4231272,-2.3928149,-2.3931239,-2.4347901,-2.5100906,-2.5665777,-2.5043955,-2.5831587,-2.5969515,-2.5701418,-2.6826398,-2.6603181,-2.733113,-2.7516809,-2.7000732,-2.6997411,-2.7648137,-2.7163126,-2.752119,-2.7791812,-2.7802324,-2.793192,-2.7124906,-2.840681,-2.7915678,-2.8405833,-2.8418467,-2.8149405,-2.773507,-2.8544557,-2.8420613,-2.8429635,-2.8797958,-2.8286355,-2.957277,-2.8413544,-2.8731573,-2.8763056,-2.8482704,-2.9273863,-2.8704314,-2.8963873
6,-1.6041987,-1.5473013,-1.5658953,-1.6461904,-1.6425586,-1.701932,-1.7520113,-1.8300686,-1.8977406,-1.9468803,-1.9501457,-1.9978094,-2.048993,-2.173949,-2.1687298,-2.1695764,-2.216113,-2.3153207,-2.3181849,-2.32089,-2.3348227,-2.4011211,-2.4273994,-2.474969,-2.4476573,-2.5242586,-2.4984353,-2.4573648,-2.5398865,-2.54336,-2.5562134,-2.6303558,-2.6697216,-2.6587749,-2.6349635,-2.6677995,-2.7039194,-2.6570253,-2.697401,-2.7378724,-2.7690182,-2.7666335,-2.746337,-2.7448266,-2.8248422,-2.8432724,-2.7706106,-2.8517623,-2.862649,-2.8655758,-2.8632455,-2.9071934,-2.863068,-2.914834,-2.8569334,-2.902007,-2.8724957,-2.9038007,-2.8808708,-2.8810601,-2.8695986,-2.8563302,-2.8582942,-2.9644654
7,-1.7383144,-1.7005742,-1.7200696,-1.6764681,-1.6703672,-1.7110789,-1.7892609,-1.823035,-1.943136,-2.022032,-1.974926,-2.065593,-2.0711756,-2.1500142,-2.2233245,-2.306788,-2.2941215,-2.3112724,-2.3638952,-2.416063,-2.3623016,-2.3570364,-2.4335985,-2.3894887,-2.4743783,-2.495775,-2.5401568,-2.4793084,-2.5557494,-2.5257215,-2.562284,-2.5918734,-2.607019,-2.670582,-2.6405864,-2.6875575,-2.6643822,-2.7434547,-2.7402225,-2.7724988,-2.750592,-2.7455566,-2.7802188,-2.8160126,-2.7712638,-2.8159857,-2.8243258,-2.791066,-2.858314,-2.8340008,-2.7928698,-2.8671176,-2.8403523,-2.921176,-2.8511398,-2.8274996,-2.8571405,-2.8721616,-2.8923135,-2.866881,-2.9221904,-2.890181,-2.8534904,-2.8712099
8,-1.7206163,-1.8079507,-1.7722332,-1.7700193,-1.8478074,-1.8381522,-1.9158342,-1.9409175,-2.0011377,-2.074675,-2.0903714,-2.0819478,-2.0749614,-2.1784356,-2.1392186,-2.2465723,-2.2739782,-2.3678472,-2.340021,-2.3649232,-2.3771105,-2.3840165,-2.387245,-2.4238272,-2.5109053,-2.5097122,-2.5413525,-2.5745053,-2.5650048,-2.5483065,-2.6419961,-2.6203804,-2.6600235,-2.7182362,-2.700482,-2.6508014,-2.7271698,-2.7482762,-2.7130241,-2.699475,-2.781539,-2.7757761,-2.7668023,-2.8362315,-2.8634272,-2.8550375,-2.7779386,-2.783755,-2.8813818,-2.9005413,-2.8285174,-2.7915554,-2.9189444,-2.9310317,-2.902144,-2.935312,-2.9414792,-2.8890212,-2.9199793,-2.8509846,-2.911575,-2.9423304,-2.9338934,-2.853623
9,-1.8373768,-1.812635,-1.8870602,-1.8406155,-1.80973,-1.9113882,-1.9184632,-1.9592903,-2.020693,-2.0385458,-2.1435668,-2.0918105,-2.171906,-2.1711648,-2.22598,-2.2438319,-2.2760694,-2.3594878,-2.3455658,-2.3168283,-2.3880486,-2.4283814,-2.4911299,-2.5106301,-2.4899576,-2.519626,-2.5444503,-2.5891309,-2.5820153,-2.6009023,-2.6583848,-2.6101265,-2.6165504,-2.6331387,-2.6810007,-2.6988437,-2.8058922,-2.8193593,-2.7618039,-2.776108,-2.7568552,-2.7630394,-2.8207579,-2.7689192,-2.832462,-2.8373632,-2.8211477,-2.794827,-2.8286645,-2.8271704,-2.8521886,-2.8837457,-2.8921394,-2.8791223,-2.9175134,-2.9623632,-2.8972075,-2.8935294,-2.9424405,-2.9031897,-2.8709693,-2.8662417,-2.8779929,-2.920036
