,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,-0.5278802,-0.83262503,-1.0589883,-1.2367496,-1.3783839,-1.4955812,-1.5980616,-1.6938915,-1.7835448,-1.8615716,-1.933173,-1.9981554,-2.0562832,-2.1030543,-2.1484666,-2.1924422,-2.2211082,-2.259371,-2.2941077,-2.324204,-2.3610783,-2.3824494,-2.4073248,-2.431454,-2.4581225,-2.4830222,-2.5105388,-2.5357153,-2.5575733,-2.5793192,-2.5988045,-2.6197639,-2.6395907,-2.656101,-2.6720777,-2.6859024,-2.7001035,-2.7101505,-2.7225053,-2.7342062,-2.7477248,-2.7585578,-2.7700632,-2.7820237,-2.793759,-2.8043234,-2.8153806,-2.8231454,-2.8307986,-2.83951,-2.8447382,-2.8503783,-2.8529148,-2.8613193,-2.8640773,-2.8667784,-2.869666,-2.872541,-2.8773196,-2.8724954,-2.8764124,-2.8739915,-2.8746357
1,-0.5365852,-0.73543155,-0.93237424,-1.1180358,-1.2777522,-1.403132,-1.5146849,-1.609097,-1.705378,-1.7930744,-1.8664055,-1.9340847,-1.9934235,-2.0501413,-2.0991042,-2.1457934,-2.1863694,-2.2207446,-2.2544315,-2.2862732,-2.3183708,-2.3560133,-2.378186,-2.4010186,-2.423893,-2.4496303,-2.4822495,-2.5022962,-2.5330038,-2.5492575,-2.574308,-2.5891354,-2.6092837,-2.6306295,-2.6472876,-2.6628742,-2.6761727,-2.6894383,-2.7013304,-2.7136471,-2.725548,-2.739288,-2.7491596,-2.761844,-2.7720087,-2.7812648,-2.7916868,-2.8021536,-2.8086703,-2.8195848,-2.8264792,-2.83291,-2.8388083,-2.8401103,-2.844488,-2.8545597,-2.8543923,-2.86274,-2.8675766,-2.863207,-2.8661804,-2.8648736,-2.8760333,-2.8702037
2,-0.8353224,-0.93488204,-1.0724621,-1.2165878,-1.3457544,-1.4535193,-1.5528712,-1.6456571,-1.7341654,-1.8180475,-1.8904269,-1.9538906,-2.0135188,-2.060886,-2.114061,-2.1559377,-2.2032864,-2.2327275,-2.2709658,-2.3036604,-2.336013,-2.3660388,-2.3888416,-2.41387,-2.4335134,-2.4624453,-2.4890547,-2.5135503,-2.5395615,-2.5612857,-2.5836554,-2.604892,-2.626152,-2.6463983,-2.6631403,-2.6773515,-2.690453,-2.7037215,-2.7081969,-2.7204862,-2.7329047,-2.744195,-2.7550561,-2.7688625,-2.7866018,-2.791818,-2.8013697,-2.817526,-2.8217125,-2.8264592,-2.8366494,-2.8428571,-2.848878,-2.861019,-2.8624272,-2.8698096,-2.866269,-2.8762078,-2.88236,-2.8838987,-2.8900673,-2.893009,-2.8902445,-2.893602
3,-1.0721471,-1.130996,-1.2252572,-1.3308074,-1.431185,-1.5229535,-1.6093893,-1.6933422,-1.7751086,-1.8526673,-1.920021,-1.976372,-2.0274734,-2.075696,-2.1231847,-2.1672647,-2.2081814,-2.2450664,-2.277277,-2.3085792,-2.3377783,-2.366289,-2.391976,-2.4135451,-2.4362729,-2.4622996,-2.4882581,-2.5147412,-2.5383317,-2.5606415,-2.5819173,-2.6046405,-2.6256106,-2.6461773,-2.663103,-2.677046,-2.6889772,-2.702023,-2.7148702,-2.725427,-2.7402828,-2.7526813,-2.7652872,-2.7776186,-2.7875376,-2.7983117,-2.8087325,-2.8193088,-2.828538,-2.8371475,-2.8444462,-2.8498185,-2.8554006,-2.8626719,-2.8662574,-2.870139,-2.873029,-2.8769417,-2.8803942,-2.8833675,-2.8854623,-2.886902,-2.8876348,-2.8881826
4,-1.2656858,-1.3018041,-1.3620803,-1.4315062,-1.5059454,-1.5814383,-1.6478748,-1.7246625,-1.7966521,-1.8723724,-1.9331689,-1.9845603,-2.0340505,-2.0750384,-2.1271548,-2.172113,-2.2117639,-2.2472737,-2.2792563,-2.3094277,-2.3391836,-2.3673403,-2.3866518,-2.4125898,-2.4366913,-2.4559095,-2.4813972,-2.5057747,-2.5356405,-2.5587282,-2.5794423,-2.600349,-2.6249313,-2.644373,-2.6597881,-2.6675806,-2.684846,-2.6987221,-2.711475,-2.7249384,-2.7377257,-2.74503,-2.7574482,-2.7732606,-2.7843587,-2.7956007,-2.8061633,-2.8151772,-2.824287,-2.827276,-2.8391962,-2.8385863,-2.8449206,-2.8560047,-2.864815,-2.868981,-2.8727746,-2.868514,-2.8737476,-2.8782926,-2.8842585,-2.878636,-2.8782146,-2.880528
5,-1.4429474,-1.4652097,-1.503727,-1.549942,-1.6012211,-1.6563056,-1.7161231,-1.7798522,-1.845855,-1.9084761,-1.962384,-2.010453,-2.0539076,-2.1035686,-2.1471512,-2.1892977,-2.2286298,-2.2621844,-2.294283,-2.3240674,-2.3525844,-2.37895,-2.4017997,-2.4232213,-2.4477293,-2.4721851,-2.4985375,-2.521829,-2.5473301,-2.5670266,-2.5883715,-2.6113784,-2.6334748,-2.6527483,-2.6685863,-2.6787963,-2.6921642,-2.705972,-2.7182074,-2.7307045,-2.745695,-2.7561603,-2.7704415,-2.781601,-2.7928982,-2.8024905,-2.8124716,-2.8215961,-2.832282,-2.8404894,-2.8451457,-2.85114,-2.857499,-2.861851,-2.8692186,-2.8714733,-2.8731494,-2.8710861,-2.8805947,-2.88257,-2.8792531,-2.8824408,-2.886007,-2.8876245
6,-1.5729556,-1.5911412,-1.6163111,-1.6453376,-1.6828065,-1.725225,-1.7738202,-1.8300004,-1.8887615,-1.946126,-1.9958198,-2.041199,-2.0819478,-2.1249964,-2.166857,-2.2034163,-2.2390943,-2.2706861,-2.301971,-2.3308837,-2.3573947,-2.3813012,-2.403858,-2.426384,-2.4502928,-2.4768898,-2.497791,-2.521946,-2.54708,-2.567557,-2.585114,-2.6111484,-2.6320882,-2.6503587,-2.6605616,-2.6726236,-2.6915078,-2.6983325,-2.718532,-2.726568,-2.7384489,-2.7583177,-2.7677615,-2.7840889,-2.797254,-2.8047667,-2.814376,-2.8265352,-2.832279,-2.8410037,-2.8472593,-2.8603594,-2.864219,-2.8702283,-2.8740065,-2.8795588,-2.8829064,-2.8877754,-2.8906577,-2.8956583,-2.8933725,-2.8923056,-2.8935761,-2.8952794
7,-1.6620245,-1.6707428,-1.6938038,-1.7151799,-1.7476282,-1.7813659,-1.8283615,-1.8792536,-1.9286704,-1.9823368,-2.026286,-2.0703895,-2.111256,-2.148604,-2.188454,-2.2172465,-2.2563863,-2.2884579,-2.3195753,-2.3469636,-2.372903,-2.3962533,-2.4173784,-2.4403377,-2.4599345,-2.490005,-2.5139663,-2.5363536,-2.5610158,-2.5807097,-2.6039698,-2.6229117,-2.6430247,-2.6604967,-2.675728,-2.688983,-2.7022133,-2.7159643,-2.7297876,-2.7423093,-2.7553992,-2.7616918,-2.7798545,-2.7863832,-2.804758,-2.8119318,-2.8185256,-2.8309891,-2.8343666,-2.8418324,-2.8489373,-2.857766,-2.8608837,-2.8639436,-2.869267,-2.8714414,-2.8760486,-2.880051,-2.8830972,-2.8846483,-2.8877149,-2.8874004,-2.8881927,-2.8947854
8,-1.7405193,-1.74631,-1.758306,-1.7766283,-1.8060884,-1.8369429,-1.8730428,-1.9183528,-1.9644537,-2.0101845,-2.0528603,-2.0931084,-2.1307025,-2.1672282,-2.2003891,-2.2313085,-2.2603133,-2.290932,-2.3197372,-2.3452852,-2.3696892,-2.392054,-2.4112177,-2.4346101,-2.4582865,-2.4802308,-2.5046365,-2.5275702,-2.5488596,-2.5693154,-2.5907855,-2.6112585,-2.6294322,-2.6451793,-2.6633365,-2.677896,-2.6917949,-2.705917,-2.7204814,-2.7333825,-2.7457833,-2.7582128,-2.7714553,-2.7836258,-2.7959871,-2.8062155,-2.8150811,-2.8251758,-2.8344038,-2.842655,-2.8511229,-2.85922,-2.8655696,-2.872402,-2.877397,-2.8820565,-2.8883808,-2.8920794,-2.8928576,-2.8924015,-2.8947356,-2.8967688,-2.8977742,-2.9024522
9,-1.808481,-1.8136809,-1.8272727,-1.8478708,-1.871378,-1.9007888,-1.9366167,-1.9753199,-2.0150862,-2.0554335,-2.0928307,-2.1291895,-2.1625638,-2.19434,-2.2252848,-2.2535489,-2.2839828,-2.3128722,-2.3389554,-2.36267,-2.385614,-2.408381,-2.4301581,-2.452487,-2.476469,-2.4992325,-2.522374,-2.5450644,-2.5657337,-2.5871973,-2.607073,-2.6263428,-2.6447344,-2.660264,-2.6754801,-2.6886516,-2.703001,-2.7122612,-2.7312763,-2.7408423,-2.7580159,-2.769984,-2.784299,-2.7973728,-2.8039224,-2.8196907,-2.8284378,-2.837548,-2.8471823,-2.8540666,-2.859864,-2.868486,-2.8739944,-2.886001,-2.8927324,-2.8972065,-2.9001424,-2.9035542,-2.9051032,-2.9109988,-2.9062102,-2.9194849,-2.9204333,-2.9107351
